a,b,n,rho,lo,hi
calvin/__overall__,robotwin_v2/hard,9,0.58,-0.13,1.0
calvin/__overall__,libero/libero_90,8,0.41,-0.51,0.96
libero/__overall__,mikasa/__overall__,8,0.69,-0.11,1.0
libero/__overall__,libero_pro/spatial_task,8,-0.36,-0.92,0.41
libero/__overall__,libero_pro/spatial_pos,8,0.73,-0.1,1.0
libero/__overall__,libero_pro/object_task,8,0.51,-0.32,0.98
libero/__overall__,libero_pro/object_pos,8,0.41,-0.46,0.94
libero/libero_goal,mikasa/__overall__,8,0.64,-0.23,1.0
libero/libero_90,simpler_env/widowx_vm,8,0.57,-0.24,0.97
libero/libero_10,mikasa/__overall__,8,0.69,-0.11,1.0
libero/libero_90,simpler_env/google_robot_va,8,0.38,-0.54,1.0
libero/libero_10,libero_pro/spatial_pos,8,0.76,-0.06,1.0
libero/libero_10,libero_pro/spatial_task,8,-0.24,-0.84,0.48
libero/libero_10,libero_pro/object_pos,8,0.4,-0.49,0.92
libero/libero_10,libero_pro/object_task,8,0.51,-0.32,0.98
libero/libero_90,simpler_env/google_robot_vm,8,0.5,-0.27,1.0
libero/libero_spatial,mikasa/__overall__,8,0.69,-0.11,1.0
libero_plus/background,robocasa/panda,8,0.24,-0.67,1.0
libero_plus/language,robocasa/panda,8,0.6,-0.23,0.97
libero_plus/camera,robocasa/panda,8,0.62,-0.23,0.97
libero_plus/__overall__,robocasa/panda,8,0.48,-0.5,1.0
libero_plus/layout,robocasa/panda,8,0.19,-0.62,0.85
libero_plus/noise,robocasa/panda,8,0.38,-0.52,0.94
libero_plus/light,robocasa/panda,8,0.48,-0.27,0.77
libero_plus/robot,robocasa/panda,8,0.38,-0.61,1.0
robocasa/panda,simpler_env/google_robot_va,8,0.43,-0.62,0.96
